,Ticker,date,qtr,eps_est,eps,release_time
0,AAPL,1/18/11,10-Dec,,0.23,post
1,AAPL,4/20/11,11-Mar,,0.23,post
2,AAPL,7/19/11,11-Jun,,0.28,post
3,AAPL,10/18/11,11-Sep,,0.25,post
4,AAPL,1/24/12,11-Dec,,0.5,post
5,AAPL,4/24/12,12-Mar,,0.44,post
6,AAPL,7/24/12,12-Jun,,0.33,
7,AAPL,10/25/12,12-Sep,1.26,1.24,post
8,AAPL,1/23/13,12-Dec,1.92,1.97,post
9,AAPL,4/23/13,13-Mar,1.45,1.44,post
10,AAPL,7/23/13,13-Jun,1.04,1.07,post
11,AAPL,10/28/13,13-Sep,1.13,1.18,post
12,AAPL,1/27/14,13-Dec,2.01,2.07,post
13,AAPL,4/23/14,14-Mar,1.46,1.66,post
14,AAPL,7/22/14,14-Jun,1.22,1.28,post
15,AAPL,10/20/14,14-Sep,1.3,1.42,post
16,AAPL,1/27/15,14-Dec,2.6,3.06,post
17,AAPL,4/27/15,15-Mar,2.19,2.33,post
18,AAPL,7/21/15,15-Jun,1.8,1.85,post
19,AAPL,10/27/15,15-Sep,1.88,1.96,post
20,AAPL,1/26/16,15-Dec,3.24,3.28,post
21,AAPL,4/26/16,16-Mar,1.97,1.9,post
22,AAPL,7/26/16,16-Jun,1.39,1.42,post
23,AAPL,10/25/16,16-Sep,1.66,1.67,post
24,AAPL,1/31/17,16-Dec,3.22,3.36,post
25,AAPL,5/2/17,17-Mar,2.02,2.1,post
26,AAPL,8/1/17,17-Jun,1.57,1.67,post
27,AAPL,11/2/17,17-Sep,1.87,2.07,post
28,AAPL,2/1/18,17-Dec,3.82,3.89,post
29,AAPL,5/1/18,18-Mar,2.69,2.73,post
30,AAPL,7/31/18,18-Jun,2.17,2.34,post
31,AAPL,11/1/18,18-Sep,2.79,2.91,post
32,AAPL,1/29/19,18-Dec,4.17,4.18,post
33,AAPL,4/30/19,19-Mar,2.361,2.46,post
34,AAPL,7/30/19,19-Jun,2.098,2.18,post
35,AAPL,10/30/19,Q4,2.839,3.03,
36,AAPL,1/28/20,Q1,4.547,4.99,
37,AAPL,4/30/20,Q2,2.261,2.55,
38,AAPL,7/30/20,Q3,2.044,2.58,
39,AAPL,10/29/20,Q4,0.7,0.73,
40,AAPL,1/27/21,Q1,1.412,1.68,
41,AAPL,4/28/21,Q2,0.987,1.4,
42,AMZN,1/27/11,10-Dec,,0.05,post
43,AMZN,4/26/11,11-Mar,,0.03,
44,AMZN,7/26/11,11-Jun,,0.02,post
45,AMZN,10/25/11,11-Sep,,0.01,post
46,AMZN,1/31/12,11-Dec,,0.02,post
47,AMZN,4/26/12,12-Mar,,0.01,post
48,AMZN,7/26/12,12-Jun,,0,post
49,AMZN,10/25/12,12-Sep,-0.08,-0.23,post
50,AMZN,1/29/13,12-Dec,0.28,0.21,post
51,AMZN,4/25/13,13-Mar,0.1,0.18,post
52,AMZN,7/25/13,13-Jun,0.04,-0.02,post
53,AMZN,10/24/13,13-Sep,-0.09,-0.09,post
54,AMZN,1/30/14,13-Dec,0.68,0.51,post
55,AMZN,4/24/14,14-Mar,0.22,0.23,post
56,AMZN,7/24/14,14-Jun,-0.13,-0.27,post
57,AMZN,10/23/14,14-Sep,-0.73,-0.95,post
58,AMZN,1/29/15,14-Dec,0.24,0.45,post
59,AMZN,4/23/15,15-Mar,-0.13,-0.12,post
60,AMZN,7/23/15,15-Jun,-0.15,0.19,post
61,AMZN,10/22/15,15-Sep,-0.1,0.17,post
62,AMZN,1/28/16,15-Dec,1.61,1,post
63,AMZN,4/28/16,16-Mar,0.61,1.07,post
64,AMZN,7/28/16,16-Jun,1.14,1.78,post
65,AMZN,10/27/16,16-Sep,0.85,0.52,post
66,AMZN,2/2/17,16-Dec,1.4,1.54,post
67,AMZN,4/27/17,17-Mar,1.03,1.48,post
68,AMZN,7/27/17,17-Jun,1.4,0.4,post
69,AMZN,10/26/17,17-Sep,0.01,0.52,post
70,AMZN,2/1/18,17-Dec,1.85,2.16,post
71,AMZN,4/26/18,18-Mar,1.22,3.27,post
72,AMZN,7/26/18,18-Jun,2.49,5.07,post
73,AMZN,10/25/18,18-Sep,3.29,5.75,post
74,AMZN,1/31/19,18-Dec,5.55,6.04,post
75,AMZN,4/25/19,19-Mar,4.724,7.09,post
76,AMZN,7/25/19,19-Jun,5.569,5.22,post
77,AMZN,10/24/19,Q3,4.619,4.23,
78,AMZN,1/30/20,Q4,4.028,6.47,
79,AMZN,4/30/20,Q1,6.249,5.01,
80,AMZN,7/30/20,Q2,1.46,10.3,
81,AMZN,10/29/20,Q3,7.409,12.37,
82,AMZN,2/2/21,Q4,7.231,14.09,
83,AMZN,4/29/21,Q1,9.542,15.79,post
84,CSCO,2/9/11,11-Jan,,0.27,post
85,CSCO,5/11/11,11-Apr,,0.33,post
86,CSCO,8/10/11,11-Jul,,0.23,post
87,CSCO,11/9/11,11-Oct,,0.31,post
88,CSCO,2/8/12,12-Jan,,0.4,post
89,CSCO,5/9/12,12-Apr,,0.48,post
90,CSCO,8/15/12,12-Jul,,0.46,post
91,CSCO,11/13/12,12-Oct,0.46,0.48,post
92,CSCO,2/13/13,13-Jan,0.48,0.51,post
93,CSCO,5/15/13,13-Apr,0.49,0.51,post
94,CSCO,8/14/13,13-Jul,0.51,0.52,post
95,CSCO,11/13/13,13-Oct,0.5,0.53,post
96,CSCO,2/12/14,14-Jan,0.46,0.47,post
97,CSCO,5/14/14,14-Apr,0.48,0.51,post
98,CSCO,8/13/14,14-Jul,0.53,0.55,post
99,CSCO,11/12/14,14-Oct,0.53,0.54,post
100,CSCO,2/11/15,15-Jan,0.51,0.53,post
101,CSCO,5/13/15,15-Apr,0.53,0.54,post
102,CSCO,8/12/15,15-Jul,0.56,0.59,post
103,CSCO,11/12/15,15-Oct,0.56,0.59,post
104,CSCO,2/10/16,16-Jan,0.54,0.57,post
105,CSCO,5/18/16,16-Apr,0.55,0.57,post
106,CSCO,8/17/16,16-Jul,0.6,0.63,post
107,CSCO,11/16/16,16-Oct,0.59,0.61,post
108,CSCO,2/15/17,17-Jan,0.56,0.57,post
109,CSCO,5/17/17,17-Apr,0.58,0.6,post
110,CSCO,8/16/17,17-Jul,0.61,0.61,post
111,CSCO,11/15/17,17-Oct,0.6,0.61,post
112,CSCO,2/14/18,18-Jan,0.59,0.63,post
113,CSCO,5/16/18,18-Apr,0.65,0.66,post
114,CSCO,8/15/18,18-Jul,0.69,0.7,post
115,CSCO,11/14/18,18-Oct,0.72,0.75,post
116,CSCO,2/13/19,,0.72,0.73,post
117,CSCO,5/15/19,19-Apr,0.774,0.78,post
118,CSCO,8/14/19,19-Jul,0.816,0.83,post
119,CSCO,11/13/19,Q1,0.807,0.84,
120,CSCO,2/12/20,Q2,0.759,0.77,
121,CSCO,5/13/20,Q3,0.692,0.79,
122,CSCO,8/12/20,Q4,0.738,0.8,
123,CSCO,11/12/20,Q1,0.704,0.76,
124,CSCO,2/9/21,Q2,0.756,0.79,
125,CSCO,5/19/21,Q3,0.82,0.83,
126,EBAY,1/19/11,10-Dec,,1.03,
127,EBAY,4/27/11,11-Mar,,0.3,
128,EBAY,7/20/11,11-Jun,,0.31,post
129,EBAY,10/19/11,11-Sep,,0.33,post
130,EBAY,1/18/12,11-Dec,,0.42,post
131,EBAY,4/18/12,12-Mar,,0.55,post
132,EBAY,7/18/12,12-Jun,,0.56,post
133,EBAY,10/17/12,12-Sep,0.55,0.55,post
134,EBAY,1/16/13,12-Dec,0.69,0.7,post
135,EBAY,4/17/13,13-Mar,0.62,0.63,post
136,EBAY,7/17/13,13-Jun,0.63,0.63,post
137,EBAY,10/16/13,13-Sep,0.63,0.64,post
138,EBAY,1/22/14,13-Dec,0.8,0.81,post
139,EBAY,4/29/14,14-Mar,0.67,0.7,post
140,EBAY,7/16/14,14-Jun,0.68,0.69,post
141,EBAY,10/15/14,14-Sep,0.67,0.68,post
142,EBAY,1/21/15,14-Dec,0.89,0.9,post
143,EBAY,4/22/15,15-Mar,0.71,0.77,post
144,EBAY,7/16/15,15-Jun,0.72,0.76,pre
145,EBAY,10/21/15,15-Sep,0.41,0.43,post
146,EBAY,1/27/16,15-Dec,0.49,0.5,post
147,EBAY,4/26/16,16-Mar,0.45,0.47,post
148,EBAY,7/20/16,16-Jun,0.42,0.43,post
149,EBAY,10/19/16,16-Sep,0.44,0.45,post
150,EBAY,1/25/17,16-Dec,0.54,0.54,post
151,EBAY,4/19/17,17-Mar,0.48,0.49,post
